,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country,Survey,Characteristic,Family planning use decisionmaking mainly by wife,Family planning non-use decisionmaking mainly by wife,LivWell own house,Do not own a house [Women],,Do not own land [Women],Decision maker about Own health care: Mainly wife [Women],Decision maker about Major household purchases: Mainly wife [Women],Decision maker about Visits to her family or relatives: Mainly wife [Women],Final say in own health care [Women],Final say in making large purchases [Women],"Final say in visits to family, relatives, friends [Women]",Women who decide themselves how their earnings are used,Wife earns more than husband
Armenia,2015-16 DHS,Total,15.9,19.5,,51.5,,84.3,,,,96,80.3,92.3,27.8,8.3
Armenia,2015-16 DHS,Region : Aragatsotn,25.2,20.9,75.94,24.1,100.04,47.3,,,,97.9,89.9,85.8,24,15.5
Armenia,2015-16 DHS,Region : Ararat,13.2,6.9,69.42,30.6,100.02,63.7,,,,87,53.6,81.2,13,8.1
Armenia,2015-16 DHS,Region : Armavir,7,15.3,22.96,77,99.96,90.3,,,,99.2,90.8,97.9,41.3,5.8
Armenia,2015-16 DHS,Region : Gegharkunik,12.9,24.7,80.78,19.2,99.98,38.2,,,,88.1,62.4,81.4,20,4.7
Armenia,2015-16 DHS,Region : Lori,9.1,5.5,55.49,44.5,99.99,99.4,,,,99.1,76.1,96.7,16.5,14.3
Armenia,2015-16 DHS,Region : Kotayk,16.9,36.7,49.56,50.4,99.96,87.2,,,,98.2,80.7,95.4,29.1,2.8
Armenia,2015-16 DHS,Region : Shirak,11.2,23.6,19.78,80.2,99.98,96.3,,,,98.5,84.2,94.2,36.7,17.9
Armenia,2015-16 DHS,Region : Syunik,0,7.1,55.72,44.3,100.02,84.2,,,,92.9,92.1,89.2,17.7,7.2
Armenia,2015-16 DHS,Region : Vayots Dzor,12,12.2,51.36,48.6,99.96,85,,,,97.8,90.7,95.4,23.6,10.8
Armenia,2015-16 DHS,Region : Tavush,13.2,23.5,37.62,62.4,100.02,82.9,,,,96.1,82.7,94.6,22.9,11.5
