,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Country,Survey,Characteristic,Women with no education,Women with completed primary education,Women with completed secondary education,Women with more than secondary education,Women with primary education,Women with secondary or higher education,Median years of education completed [Women],Women who can read a whole sentence,Women who are literate
Armenia,2015-16 DHS,Total 15-49,0.1,0,36.2,53.5,0.3,99.6,11.3,,
Armenia,2015-16 DHS,Region : Aragatsotn,0,0,57.4,34.9,0,100,9.9,,
Armenia,2015-16 DHS,Region : Ararat,0,0.2,51.8,34.7,0.6,99.4,9.9,,
Armenia,2015-16 DHS,Region : Armavir,0.5,0.2,41.2,37.4,1.4,98.2,9.8,,
Armenia,2015-16 DHS,Region : Gegharkunik,0,0,56.7,30.6,0,100,9.8,,
Armenia,2015-16 DHS,Region : Lori,0,0,43.3,49.3,0,100,11.1,,
Armenia,2015-16 DHS,Region : Kotayk,0,0,36.5,53.2,0.4,99.6,11,,
Armenia,2015-16 DHS,Region : Shirak,0.2,0,39.6,51.3,0.2,99.6,11,,
Armenia,2015-16 DHS,Region : Syunik,0.2,0,36.6,50,0,99.8,10.9,,
Armenia,2015-16 DHS,Region : Vayots Dzor,0,0,40.2,49.3,0,100,10.3,,
Armenia,2015-16 DHS,Region : Tavush,0.3,0,32.3,53.5,0,99.7,11.1,,
Armenia,2015-16 DHS,Region : Yerevan,0,0,20.3,73.8,0.2,99.8,12.7,,
Armenia,2010 DHS,Total 15-49,0.1,,33.9,58,0,99.9,11.2,,
Armenia,2010 DHS,Region : Aragatsotn,0,,65.4,29.4,0,100,9.7,,
Armenia,2010 DHS,Region : Ararat,0,,52.3,38.8,0,100,9.8,,
Armenia,2010 DHS,Region : Armavir,0,,38.3,50.8,0,100,10,,
Armenia,2010 DHS,Region : Gegharkunik,0,,51.7,36.1,0.3,99.7,9.7,,
Armenia,2010 DHS,Region : Lori,0,,43.6,47.2,0.2,99.8,9.9,,
Armenia,2010 DHS,Region : Kotayk,0,,35.1,55.7,0,100,10.8,,
Armenia,2010 DHS,Region : Shirak,0.2,,34.5,57.2,0,99.8,11,,
Armenia,2010 DHS,Region : Syunik,0,,27.8,65.7,0,100,12.1,,
Armenia,2010 DHS,Region : Vayots Dzor,0.4,,45,47.5,0,99.6,9.9,,
Armenia,2010 DHS,Region : Tavush,0.1,,33.2,55.8,0,99.9,11.1,,
Armenia,2010 DHS,Region : Yerevan,0.1,,18.7,75.7,0,99.9,12.3,,
Armenia,2005 DHS,Total 15-49,0.1,0.1,33.7,24.4,0.5,99.5,8.2,,
Armenia,2005 DHS,Region : Aragatsotn,0,0,44.2,10.7,0,100,8.1,,
Armenia,2005 DHS,Region : Ararat,0,0,44.6,11,0.1,99.9,8.1,,
Armenia,2005 DHS,Region : Armavir,0,0.7,41.5,12.5,1.6,98.4,8.1,,
Armenia,2005 DHS,Region : Gegharkunik,0.4,0,43,11.9,0,99.6,8.1,,
Armenia,2005 DHS,Region : Lori,0.2,0,41.1,18.1,0.1,99.7,8.2,,
Armenia,2005 DHS,Region : Kotayk,0.1,0,40.2,16.2,0.5,99.4,8.2,,
Armenia,2005 DHS,Region : Shirak,0.3,0.2,38.4,18.3,0.6,99.1,8.2,,
Armenia,2005 DHS,Region : Syunik,0.2,0,25.8,20.6,0.8,99.1,7.4,,
Armenia,2005 DHS,Region : Vayots Dzor,0,0,48.3,12.3,0.5,99.5,8.2,,
Armenia,2005 DHS,Region : Tavush,0,0,34.6,17,1.2,98.8,8,,
Armenia,2005 DHS,Region : Yerevan,0,0,23,39.9,0.3,99.7,8.6,,
Armenia,2000 DHS,Total 15-49,0.1,0.1,67.9,18.7,0.4,99.6,10.5,,
Armenia,2000 DHS,Region : Aragatsotn,0.2,0.4,73.1,11,1,98.8,9.8,,
Armenia,2000 DHS,Region : Ararat,0,0,77.1,9,0.4,99.6,9.9,,
Armenia,2000 DHS,Region : Armavir,0,0,66.9,11.1,1.2,98.8,9.7,,
Armenia,2000 DHS,Region : Gegharkunik,0,0,72.4,6.3,0.4,99.6,9.7,,
Armenia,2000 DHS,Region : Lori,0,0,74.8,13.2,0.2,99.8,10,,
Armenia,2000 DHS,Region : Kotayk,0.2,0,72.4,12.6,0.2,99.6,10.4,,
Armenia,2000 DHS,Region : Shirak,0,0.2,67.1,22,0.2,99.8,11.2,,
Armenia,2000 DHS,Region : Syunik,0,0,75.5,12.1,0,100,10.6,,
Armenia,2000 DHS,Region : Vayots Dzor,0,0,77.3,8.7,0.2,99.8,9.8,,
Armenia,2000 DHS,Region : Tavush,0.2,0.2,66.5,14.9,0.4,99.4,9.9,,
Armenia,2000 DHS,Region : Yerevan,0.1,0.1,60.2,30.5,0.2,99.7,11.6,,
Congo Democratic Republic,2013-14 DHS,Total 15-49,15.4,8.4,8.5,3.7,36.9,47.7,5.6,6.6,63.8
Congo Democratic Republic,2013-14 DHS,Region : Kinshasa,0.8,3.5,27.1,14.7,10.2,88.9,10.1,2,93.3
Congo Democratic Republic,2013-14 DHS,Region : Bas-Congo,9.4,10.4,7.4,1.1,41,49.6,5.8,5.2,66.8
Congo Democratic Republic,2013-14 DHS,Region : Bandundu,12,9.1,9.3,1.4,37.2,50.8,5.9,5.8,65
Congo Democratic Republic,2013-14 DHS,Region : Equateur,21.8,7.7,4.4,1.3,42.7,35.5,4.3,6.4,53.4
Congo Democratic Republic,2013-14 DHS,Region : Orientale,18.1,9,3.6,1.9,47.5,34.4,4.4,7.8,57.6
Congo Democratic Republic,2013-14 DHS,Region : Nord-Kivu,23.6,9,5.4,6.3,33.9,42.5,5.2,13.1,64.2
Congo Democratic Republic,2013-14 DHS,Region : Maniema,17.9,13.5,6,1.5,40.3,41.8,5.3,4.9,66.4
Congo Democratic Republic,2013-14 DHS,Region : Sud-Kivu,28,5.7,5.5,1.7,35.4,36.5,4.3,15.2,59.8
Congo Democratic Republic,2013-14 DHS,Region : Katanga,18.6,8.9,5.6,3.4,39.2,42.2,5.1,4.1,54.3
Congo Democratic Republic,2013-14 DHS,Region : Kasaï Oriental,8.9,10.6,6.7,1.3,44.4,46.8,5.6,6.1,63.9
Congo Democratic Republic,2013-14 DHS,Region : Kasaï Occident,17.2,11.1,3.9,1.6,44.5,38.3,5,4,51.1
Congo Democratic Republic,2007 DHS,Total 15-49,20.8,7.1,6.1,2.6,38.5,40.6,4.7,7.9,58.9
Congo Democratic Republic,2007 DHS,Region : Kinshasa,1,4.3,15.9,10.7,14,85.1,8.9,3.5,91.5
Congo Democratic Republic,2007 DHS,Region : Bas-Congo,14.6,9.7,5.1,0.8,43.9,41.5,5.1,10.4,61.5
Congo Democratic Republic,2007 DHS,Region : Bandundu,22,6.1,8.4,0.5,40.4,37.6,4.1,4.8,51.4
Congo Democratic Republic,2007 DHS,Region : Equateur,32.5,7.1,2.2,0.3,41.5,25.9,2.9,10,49.4
Congo Democratic Republic,2007 DHS,Region : Orientale,32,5.2,1.5,0.6,51,17,1.9,9.9,38.7
Congo Democratic Republic,2007 DHS,Region : Nord-Kivu,37.1,4,1.3,0.5,43.1,19.8,2.1,15.3,52.1
Congo Democratic Republic,2007 DHS,Region : Maniema,18.2,8.3,2.2,0.7,49.8,32,4.2,14.2,63.4
Congo Democratic Republic,2007 DHS,Region : Sud-Kivu,30,7.1,1.7,1.1,39.4,30.6,3.4,19.7,62.2
Congo Democratic Republic,2007 DHS,Region : Katanga,23.7,7.1,7.6,4,34.8,41.5,4.8,7,59.6
Congo Democratic Republic,2007 DHS,Region : Kasaï Oriental,13.4,11.2,3.8,1.5,46,40.6,5.2,7.9,58.2
Congo Democratic Republic,2007 DHS,Region : Kasaï Occident,22.8,10.1,3.3,0.2,46,31.2,4.3,4.8,50.1
Ethiopia,2019 DHS,Total 15-49,40.4,6.4,1,5.7,41.7,18,2.5,27.8,47.6
Ethiopia,2019 DHS,Region : Tigray,34.8,7.1,2.2,12.6,30.8,34.4,5.4,36.8,59.6
Ethiopia,2019 DHS,Region : Afar,64.3,1.1,0.8,2.5,28.1,7.6,,7.9,19.8
Ethiopia,2019 DHS,Region : Amhara,46.4,8.2,0.2,5,38,15.5,1.8,34.7,49.8
Ethiopia,2019 DHS,Region : Oromia,37.2,6.5,0.7,3.2,48.1,14.7,2.5,28.8,47.1
Ethiopia,2019 DHS,Region : Somali,71.7,4.5,0.4,1.9,19.5,8.8,,5.3,12.3
Ethiopia,2019 DHS,Region : Benishangul-Gumuz,39.8,5,0.2,9.6,41.6,18.6,2.9,18.8,45.5
Ethiopia,2019 DHS,Region : SNNPR,40.7,4.1,0.8,3.6,45.8,13.5,2.1,17.1,42.2
Ethiopia,2019 DHS,Region : Gambela,21.1,9,0.4,12.6,50.9,28,5.6,16.6,38.2
Ethiopia,2019 DHS,Region : Harari,32.6,6.4,1.2,15.3,38,29.4,4.5,28.8,53.8
Ethiopia,2019 DHS,Region : Addis Ababa,13.3,7.9,7.3,26.5,32.7,54,8.6,45.6,84
Ethiopia,2019 DHS,Region : Dire Dawa,26.9,7.3,2.9,17.6,36,37.1,6.2,32.4,60.1
Ethiopia,2016 DHS,Total 15-49,47.8,3.2,1.2,5.6,35,17.2,0.6,25.1,42
Ethiopia,2016 DHS,Region : Tigray,43,3,1.1,6.3,32.3,24.8,2.1,35.1,51
Ethiopia,2016 DHS,Region : Afar,68.7,3.9,0.2,2.8,24.3,7,,13.8,23.7
Ethiopia,2016 DHS,Region : Amhara,54.1,1.7,0.6,5.4,28,17.9,,31.3,44.9
Ethiopia,2016 DHS,Region : Oromia,51.1,4.1,1.1,3.8,36.8,12.1,,21.1,37.3
Ethiopia,2016 DHS,Region : Somali,75.3,1.5,0.4,2,18.1,6.6,,6.2,12.4
Ethiopia,2016 DHS,Region : Benishangul-Gumuz,46.7,1.1,0.3,5.9,37.5,15.8,0.9,21.4,38.7
Ethiopia,2016 DHS,Region : SNNPR,43.9,2.8,0.5,3.7,42.7,13.4,1.6,14.1,35.3
Ethiopia,2016 DHS,Region : Gambela,26.7,4.5,1.5,12.5,38.7,34.5,5.6,27.6,50
Ethiopia,2016 DHS,Region : Harari,36.1,5.3,3.6,12,34.5,29.3,4,32.4,54.6
Ethiopia,2016 DHS,Region : Addis Ababa,8.6,6.4,7.5,24,37.1,54.3,8.1,61.3,87.8
Ethiopia,2016 DHS,Region : Dire Dawa,33.3,6.4,2.6,9.8,38.2,28.5,4.7,34.9,54.5
Ethiopia,2011 DHS,Total 15-49,50.8,4,0.9,4.4,38,11.2,,16.6,38.4
Ethiopia,2011 DHS,Region : Tigray,49.4,6,0.8,3.2,38.3,12.3,,24,45
Ethiopia,2011 DHS,Region : Afar,74.6,3,0.5,2.4,18.6,6.8,,8.3,20.3
Ethiopia,2011 DHS,Region : Amhara,61.4,3.5,0.4,4,29.4,9.2,,18.8,36.4
Ethiopia,2011 DHS,Region : Oromia,49.4,4.4,0.5,3.6,41.4,9.2,,15.7,38
Ethiopia,2011 DHS,Region : Somali,74.2,1.4,0.4,1.2,20.7,5.1,,7.3,19.8
Ethiopia,2011 DHS,Region : Benishangul-Gumuz,57.7,2.9,0.4,5.3,32.8,9.4,,12.3,29.4
Ethiopia,2011 DHS,Region : SNNPR,46.6,2.8,0.4,3.1,45,8.4,0.4,11.8,30.9
Ethiopia,2011 DHS,Region : Gambela,30.7,6.9,0.2,6.7,56.2,13,3.3,16.1,36.3
Ethiopia,2011 DHS,Region : Harari,35.6,5.7,6.1,13.9,34.1,30.3,4.5,16,54
Ethiopia,2011 DHS,Region : Addis Ababa,14.9,7.1,7.8,18.3,41.6,43.5,7.1,25.9,79.7
Ethiopia,2011 DHS,Region : Dire Dawa,37,5.5,3.7,12,35.2,27.8,4.2,13.1,50.8
Ethiopia,2005 DHS,Total 15-49,65.9,3,2.3,1.4,22.2,11.9,,9.6,29.2
Ethiopia,2005 DHS,Region : Tigray,63.5,3.7,2,2.4,20.1,16.5,,10,33.7
Ethiopia,2005 DHS,Region : Afar,84.8,1.7,0.7,0,8.4,6.8,,4.6,15.6
Ethiopia,2005 DHS,Region : Amhara,75.6,2.1,1.7,1.1,15.8,8.5,,9.6,25.1
Ethiopia,2005 DHS,Region : Oromia,64.4,3.3,1.5,0.5,25.6,10,,10.7,29.5
Ethiopia,2005 DHS,Region : Somali,90.6,1,2.2,0.6,4.3,5.2,,1.8,9.8
Ethiopia,2005 DHS,Region : Benishangul-Gumuz,73.2,2.8,0.8,1.4,20.4,6.4,,9.2,23.2
Ethiopia,2005 DHS,Region : SNNPR,65.7,3,0.7,0.3,27.7,6.7,,8.4,22.4
Ethiopia,2005 DHS,Region : Gambela,59.5,4.7,1.4,0.1,32.1,8.4,,5.4,22.8
Ethiopia,2005 DHS,Region : Harari,39.9,3,13,4.6,17.4,42.7,3.8,6.6,54.9
Ethiopia,2005 DHS,Region : Addis Ababa,17.6,5.7,16.7,11.6,24.3,58.1,7.3,12.7,79.9
Ethiopia,2005 DHS,Region : Dire Dawa,46.7,4.5,9.1,2.4,19.5,33.7,2.1,9.9,53
Ethiopia,2000 DHS,Total 15-49,75.2,1.6,1.9,0.6,15.8,9.1,,9.5,24.4
Ethiopia,2000 DHS,Region : Tigray,77.8,2.3,1.2,0.6,15.4,6.8,,10.3,22.6
Ethiopia,2000 DHS,Region : Afar,84.7,2.5,1,0.5,9,6.4,,6.4,16.6
Ethiopia,2000 DHS,Region : Amhara,83.5,1.2,0.9,0.4,10.7,5.8,,10.2,21.8
Ethiopia,2000 DHS,Region : Oromia,75.8,1.2,1,0.4,16.4,7.8,,7.5,21.7
Ethiopia,2000 DHS,Region : Somali,88.5,1,0.6,0.2,8,3.5,,5.8,12.2
Ethiopia,2000 DHS,Region : Benishangul-Gumuz,76.4,2.4,0.8,0.3,19.3,4.3,,12.7,22.4
Ethiopia,2000 DHS,Region : SNNPR,73.8,1.7,1.4,0.1,19.7,6.5,,10.8,22.3
Ethiopia,2000 DHS,Region : Gambela,60.2,3.5,1.3,0.9,28.9,10.9,,8.8,29.9
Ethiopia,2000 DHS,Region : Harari,53.4,2.9,9.5,0.9,16.2,30.4,,8,44.7
Ethiopia,2000 DHS,Region : Addis Ababa,25,5.9,18.4,5,22.7,52.3,6.3,15.7,76.1
Ethiopia,2000 DHS,Region : Dire Dawa,46,4.6,10.1,1.6,20,34,1.9,15.8,52.3
Lesotho,2014 DHS,Total 15-49,1,20.8,9.8,8.8,38.6,60.4,6.9,30.4,97
Lesotho,2014 DHS,Region : Butha-Buthe,1.6,19.3,10.1,6.5,40.9,57.5,6.9,29.2,96.8
Lesotho,2014 DHS,Region : Leribe,0.8,22.5,7.5,7.4,33.3,65.9,7,27.4,96.9
Lesotho,2014 DHS,Region : Berea,0.3,20.9,11,12.8,34.1,65.6,7.2,27.5,98.1
Lesotho,2014 DHS,Region : Maseru,0.7,16.8,12.7,13.3,31.9,67.4,7.4,23.8,97.9
Lesotho,2014 DHS,Region : Mafeteng,0.1,20.2,11.2,7.5,37.4,62.4,7,31.3,97.3
Lesotho,2014 DHS,Region : Mohale's Hoek,1.6,23.6,7.6,5.1,45.9,52.5,6.7,37.2,96.5
Lesotho,2014 DHS,Region : Quthing,1.6,16.2,10,5.1,43,55.4,6.7,34.3,96.1
Lesotho,2014 DHS,Region : Qasha's Nek,2.4,23.8,9.4,4.7,46.4,51.2,6.7,37.8,95.3
Lesotho,2014 DHS,Region : Mokhotlong,2.5,26,5.9,2.6,55.2,42.3,6.4,42.9,95
Lesotho,2014 DHS,Region : Thaba-Tseka,2,29.3,4.5,2.4,59,39,6.4,46.6,95
Lesotho,2009 DHS,Total 15-49,1.2,22.8,8,5.8,46.6,52.2,7,37,96.9
Lesotho,2009 DHS,Region : Butha-Buthe,1.2,22.4,12.1,5.1,44,54.7,7.4,29.9,97
Lesotho,2009 DHS,Region : Leribe,0.7,26.6,8,4.9,44.7,54.7,7.4,35,98.1
Lesotho,2009 DHS,Region : Berea,0.3,19.1,8,7.8,38.8,61,7.7,32.1,98.4
Lesotho,2009 DHS,Region : Maseru,1.2,20.3,9.8,8.7,38.5,60.3,7.8,31.2,98
Lesotho,2009 DHS,Region : Mafeteng,0.1,24.1,7.7,4.6,47.5,52.4,6.9,43.3,98.3
Lesotho,2009 DHS,Region : Mohale's Hoek,2.3,19.4,5.5,3.4,54.6,43.1,6.6,42.2,94.7
Lesotho,2009 DHS,Region : Quthing,4,21.5,6.8,2.8,58.1,37.9,6.4,37.5,90
Lesotho,2009 DHS,Region : Qasha's Nek,2.2,20.1,9,4.9,50.7,47.1,6.8,37.4,94.3
Lesotho,2009 DHS,Region : Mokhotlong,2.4,30.3,4.3,1.3,64.7,32.9,6.4,51.4,94.5
Lesotho,2009 DHS,Region : Thaba-Tseka,1.8,30.8,4.6,2.5,68.9,29.3,6.3,56.2,95.2
Lesotho,2004 DHS,Total 15-49,2,27.9,6.7,1.3,59.3,38.7,6.6,50.9,94.9
Lesotho,2004 DHS,Region : Butha-Buthe,1.7,29,6.1,2.5,57.3,41,6.7,52.4,96.1
Lesotho,2004 DHS,Region : Leribe,0.8,29.7,6.1,1,58.2,41,6.7,51.7,97.1
Lesotho,2004 DHS,Region : Berea,1.3,32.6,4.9,1,66.3,32.4,6.4,57.8,94.4
Lesotho,2004 DHS,Region : Maseru,0.9,25.9,12.5,2.2,47.9,51.2,7.1,39.5,96.7
Lesotho,2004 DHS,Region : Mafeteng,1.5,27.3,5,0.6,55.8,42.6,6.7,49.3,96.8
Lesotho,2004 DHS,Region : Mohale's Hoek,2.9,25,4.6,0.8,62.8,34.4,6.4,56.9,94.7
Lesotho,2004 DHS,Region : Quthing,4,26.4,3.8,0.7,67.3,28.7,6.2,57.2,91.9
Lesotho,2004 DHS,Region : Qasha's Nek,5.4,22.5,3.2,0.7,67.4,27.3,6,47.3,90
Lesotho,2004 DHS,Region : Mokhotlong,6.8,26.8,2.5,1.2,70.8,22.4,6,60.9,89.7
Lesotho,2004 DHS,Region : Thaba-Tseka,3.5,33.4,2.5,0.3,78.4,18.1,6,64.7,88.6
Malawi,2017 MIS,Total 15-49,13.6,10.5,6.5,2.6,63.6,22.8,5.4,57.1,69.6
Malawi,2017 MIS,Region : Northern,4,14,10.3,2.7,60.8,35.1,7,72,85.2
Malawi,2017 MIS,Region : Central,14.3,10.2,6,3,65,20.8,5,52.2,67.4
Malawi,2017 MIS,Region : Southern,15.6,9.9,5.9,2.2,63,21.4,5.1,57.8,67.5
Malawi,2015-16 DHS,Total 15-49,12.1,8.3,6.5,3,62.1,25.8,5.6,60.6,72.1
Malawi,2015-16 DHS,Region : Northern,4,15,7.3,3.4,64.5,31.5,6.8,68.5,80.8
Malawi,2015-16 DHS,Region : Central,12.2,7.1,6.4,4.2,61.9,25.9,5.3,59.2,70.8
Malawi,2015-16 DHS,Region : Southern,14.1,7.6,6.3,1.8,61.6,24.3,5.4,59.8,71.1
Malawi,2015-16 DHS,Region : ..Chitipa,6.7,21.6,6.7,1.8,62.8,30.5,7.1,64.3,74.5
Malawi,2015-16 DHS,Region : ..Karonga,4.4,10.5,6.5,2.8,67.3,28.2,6.5,62.8,79.4
Malawi,2015-16 DHS,Region : ..Mzimba,4.6,17,5.5,1.1,72.1,23.3,6.5,68.4,78.9
Malawi,2015-16 DHS,Region : ..Rumphi,1,17.3,9.1,2.8,56.1,42.9,7.5,79.9,86.5
